epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1080.73,1.12543,0.51204,0.00876,0.93485,0.86505,0.92549,0.64394,1.17877,0.6387,0.01108,0.0011882,0.0011882,0.0011882
43,1103.75,1.1299,0.56037,0.00893,0.91927,0.8617,0.92744,0.65231,1.18732,0.61835,0.01124,0.0011684,0.0011684,0.0011684
44,1126.78,1.13869,0.50214,0.00879,0.92387,0.87589,0.9275,0.63701,1.18761,0.62572,0.01103,0.0011486,0.0011486,0.0011486
45,1149.69,1.12993,0.50783,0.00874,0.87484,0.87589,0.90823,0.63774,1.17338,0.65313,0.0112,0.0011288,0.0011288,0.0011288
46,1172.52,1.10428,0.51018,0.00833,0.88755,0.86767,0.92157,0.63749,1.17442,0.62524,0.01099,0.001109,0.001109,0.001109
47,1195.36,1.09074,0.49941,0.00831,0.89036,0.89269,0.92555,0.63673,1.16126,0.62063,0.01057,0.0010892,0.0010892,0.0010892
48,1218.32,1.08597,0.50947,0.00827,0.87376,0.89007,0.92083,0.64474,1.19089,0.62439,0.01127,0.0010694,0.0010694,0.0010694
49,1241.29,1.08832,0.50819,0.00853,0.90854,0.8617,0.91483,0.64167,1.15925,0.62926,0.01071,0.0010496,0.0010496,0.0010496
50,1264.12,1.11261,0.50065,0.00816,0.92604,0.88807,0.93431,0.65544,1.14363,0.61849,0.01039,0.0010298,0.0010298,0.0010298
51,1287.07,1.08882,0.46903,0.0085,0.90611,0.88981,0.92713,0.66343,1.12524,0.58977,0.01028,0.00101,0.00101,0.00101
52,1310.13,1.07822,0.49613,0.00801,0.89683,0.88652,0.92634,0.64766,1.14606,0.58507,0.01071,0.0009902,0.0009902,0.0009902
53,1333.29,1.07562,0.46884,0.00829,0.89444,0.90071,0.93331,0.65625,1.14403,0.587,0.01055,0.0009704,0.0009704,0.0009704
54,1356.42,1.07384,0.47438,0.00826,0.9135,0.87234,0.92411,0.65607,1.12767,0.59233,0.01047,0.0009506,0.0009506,0.0009506
55,1379.52,1.08782,0.48257,0.00824,0.90322,0.89362,0.9262,0.66371,1.136,0.6025,0.01039,0.0009308,0.0009308,0.0009308
56,1402.71,1.05185,0.444,0.00799,0.89301,0.85461,0.91863,0.65852,1.11421,0.61206,0.01038,0.000911,0.000911,0.000911
57,1425.75,1.0596,0.44868,0.00828,0.89371,0.89448,0.93236,0.66564,1.1303,0.61929,0.01078,0.0008912,0.0008912,0.0008912
58,1448.92,1.04585,0.48716,0.00826,0.90733,0.86803,0.93007,0.65705,1.14926,0.59399,0.01055,0.0008714,0.0008714,0.0008714
59,1471.96,1.04215,0.47564,0.00795,0.90533,0.86525,0.93266,0.67939,1.09848,0.60138,0.00999,0.0008516,0.0008516,0.0008516
60,1494.9,1.02841,0.43789,0.00764,0.91405,0.84752,0.92031,0.65332,1.12523,0.60043,0.0103,0.0008318,0.0008318,0.0008318
61,1517.8,1.03527,0.45545,0.00771,0.90523,0.89007,0.9365,0.68927,1.07851,0.5797,0.0097,0.000812,0.000812,0.000812
62,1540.73,1.0124,0.45603,0.0078,0.91849,0.86525,0.93573,0.67699,1.11106,0.60671,0.01004,0.0007922,0.0007922,0.0007922
63,1563.63,1.02945,0.45289,0.00813,0.90332,0.86525,0.92822,0.65958,1.12567,0.61344,0.0102,0.0007724,0.0007724,0.0007724
64,1586.66,1.04909,0.48389,0.00802,0.90065,0.87589,0.93404,0.67041,1.11749,0.57075,0.01033,0.0007526,0.0007526,0.0007526
65,1609.6,1.04748,0.45191,0.00793,0.91035,0.86424,0.92139,0.66009,1.12658,0.59365,0.01045,0.0007328,0.0007328,0.0007328
66,1632.75,1.00304,0.45019,0.00751,0.88881,0.87234,0.92677,0.66812,1.11019,0.58784,0.0103,0.000713,0.000713,0.000713
67,1655.69,1.00599,0.43929,0.0075,0.90263,0.89007,0.93903,0.68933,1.06745,0.59969,0.00966,0.0006932,0.0006932,0.0006932
68,1678.68,1.00887,0.44568,0.00757,0.90421,0.87027,0.92996,0.67624,1.093,0.60139,0.00991,0.0006734,0.0006734,0.0006734
69,1701.67,1.00269,0.43168,0.00751,0.92337,0.8617,0.93848,0.68199,1.07862,0.54231,0.00983,0.0006536,0.0006536,0.0006536
70,1724.68,0.97944,0.42328,0.00755,0.9085,0.88026,0.93661,0.67858,1.08746,0.607,0.00982,0.0006338,0.0006338,0.0006338
71,1747.86,0.98463,0.42513,0.00734,0.90905,0.88298,0.93646,0.6714,1.09224,0.56197,0.00982,0.000614,0.000614,0.000614
72,1771.03,0.97387,0.43461,0.00756,0.92526,0.89716,0.93659,0.67801,1.08433,0.56454,0.00998,0.0005942,0.0005942,0.0005942
73,1793.97,0.99007,0.43911,0.00739,0.90954,0.89362,0.93586,0.68609,1.08006,0.56744,0.00975,0.0005744,0.0005744,0.0005744
74,1816.98,0.98905,0.44559,0.00763,0.92799,0.87589,0.93669,0.67449,1.07783,0.55979,0.00971,0.0005546,0.0005546,0.0005546
75,1840.05,0.94974,0.42319,0.00728,0.91054,0.90426,0.94008,0.68101,1.09289,0.55546,0.00989,0.0005348,0.0005348,0.0005348
76,1863.03,0.96277,0.4258,0.00732,0.90136,0.90729,0.94427,0.68506,1.06698,0.59068,0.00965,0.000515,0.000515,0.000515
