epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,571.063,1.0772,0.50481,0.00818,0.91567,0.89362,0.93517,0.65363,1.13624,0.58455,0.01041,0.0011882,0.0011882,0.0011882
43,584.324,1.04111,0.46962,0.0078,0.89521,0.87849,0.92886,0.66413,1.10526,0.58469,0.01017,0.0011684,0.0011684,0.0011684
44,597.75,1.05341,0.49303,0.0082,0.91769,0.88652,0.92678,0.65009,1.12808,0.61969,0.01016,0.0011486,0.0011486,0.0011486
45,611.092,1.02824,0.48085,0.00774,0.91826,0.83659,0.92545,0.65627,1.0965,0.61688,0.00995,0.0011288,0.0011288,0.0011288
46,624.573,1.02609,0.48086,0.00794,0.89811,0.89007,0.93839,0.65706,1.12515,0.58508,0.01011,0.001109,0.001109,0.001109
47,637.905,1.0271,0.48354,0.00774,0.91123,0.83718,0.92122,0.66771,1.10061,0.61899,0.00987,0.0010892,0.0010892,0.0010892
48,651.221,1.01613,0.45988,0.00795,0.90214,0.87943,0.9256,0.65229,1.13234,0.58496,0.01023,0.0010694,0.0010694,0.0010694
49,664.756,1.01767,0.46861,0.00773,0.93061,0.86879,0.93329,0.66386,1.10433,0.60939,0.00975,0.0010496,0.0010496,0.0010496
50,678.134,0.98426,0.45204,0.0073,0.90961,0.89214,0.94093,0.66778,1.09323,0.60974,0.00961,0.0010298,0.0010298,0.0010298
51,691.41,0.98741,0.46173,0.00727,0.93441,0.87234,0.93682,0.67403,1.09208,0.57642,0.00991,0.00101,0.00101,0.00101
52,704.667,0.99694,0.48389,0.00741,0.92743,0.86108,0.94217,0.66001,1.07692,0.60167,0.0095,0.0009902,0.0009902,0.0009902
53,718.002,0.98268,0.46911,0.00747,0.91141,0.91204,0.94678,0.67557,1.04826,0.57455,0.00926,0.0009704,0.0009704,0.0009704
54,731.36,0.9806,0.45794,0.00736,0.90827,0.8778,0.92836,0.67302,1.06138,0.60056,0.00925,0.0009506,0.0009506,0.0009506
55,744.529,0.95967,0.46185,0.00696,0.94221,0.86718,0.94269,0.67963,1.09836,0.54901,0.00978,0.0009308,0.0009308,0.0009308
56,757.825,0.98922,0.44805,0.00738,0.92934,0.8862,0.94203,0.67325,1.08898,0.53613,0.00966,0.000911,0.000911,0.000911
57,771.127,0.96281,0.44721,0.00714,0.93684,0.85461,0.93318,0.6635,1.1165,0.58797,0.01009,0.0008912,0.0008912,0.0008912
58,784.57,0.96245,0.45006,0.00704,0.91869,0.89362,0.94301,0.6767,1.08786,0.57382,0.00955,0.0008714,0.0008714,0.0008714
59,797.707,0.97764,0.45899,0.0072,0.9166,0.89642,0.94859,0.68531,1.06705,0.54803,0.00942,0.0008516,0.0008516,0.0008516
60,810.944,0.95937,0.44999,0.00699,0.9232,0.89515,0.94216,0.68374,1.06685,0.51933,0.00962,0.0008318,0.0008318,0.0008318
61,824.248,0.93109,0.44711,0.00698,0.90372,0.89716,0.93999,0.66939,1.08924,0.59087,0.00985,0.000812,0.000812,0.000812
62,837.599,0.92722,0.42086,0.00695,0.93012,0.87234,0.92731,0.67538,1.07142,0.5823,0.0095,0.0007922,0.0007922,0.0007922
63,850.796,0.95931,0.44865,0.0068,0.93583,0.88652,0.94519,0.68205,1.0735,0.55828,0.00931,0.0007724,0.0007724,0.0007724
64,864.189,0.90947,0.44201,0.00678,0.92003,0.90426,0.94476,0.68395,1.07087,0.57959,0.00928,0.0007526,0.0007526,0.0007526
65,877.267,0.93152,0.44353,0.00697,0.92698,0.90034,0.94564,0.69761,1.03298,0.52333,0.00893,0.0007328,0.0007328,0.0007328
66,890.838,0.92412,0.43075,0.00671,0.91612,0.87589,0.93632,0.69935,1.04691,0.53768,0.00913,0.000713,0.000713,0.000713
67,904.104,0.89278,0.40462,0.00658,0.90859,0.88118,0.93783,0.69749,1.02407,0.53267,0.00911,0.0006932,0.0006932,0.0006932
68,917.584,0.90438,0.42104,0.00676,0.92388,0.90378,0.94712,0.70084,1.01431,0.51438,0.00887,0.0006734,0.0006734,0.0006734
69,930.844,0.88007,0.40644,0.00636,0.96475,0.87352,0.95161,0.7054,1.03963,0.51983,0.00912,0.0006536,0.0006536,0.0006536
