epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.4673,1.12937,1.05105,0.00491,0.91714,0.8818,0.93884,0.6827,1.44626,0.89604,0.01358,0.00066453,0.00066453,0.00066453
2,70.3001,1.18387,0.58261,0.00547,0.94849,0.90307,0.96154,0.71902,1.33555,0.74321,0.01181,0.00131802,0.00131802,0.00131802
3,100.278,1.2117,0.57992,0.00563,0.91761,0.92553,0.94664,0.70105,1.333,0.80778,0.01231,0.00195831,0.00195831,0.00195831
4,130.145,1.16997,0.51717,0.00539,0.91891,0.87116,0.9452,0.71163,1.35378,1.00324,0.01261,0.0019406,0.0019406,0.0019406
5,160.065,1.12999,0.51833,0.00547,0.93653,0.91371,0.94869,0.69018,1.31645,0.69546,0.01225,0.0019208,0.0019208,0.0019208
6,189.366,1.08922,0.48077,0.00512,0.94316,0.91017,0.96422,0.72724,1.29441,0.66398,0.01111,0.001901,0.001901,0.001901
7,218.17,1.11234,0.48989,0.00522,0.93017,0.92199,0.95247,0.71518,1.25542,0.68333,0.01121,0.0018812,0.0018812,0.0018812
8,247.552,1.07579,0.44881,0.00488,0.94025,0.89835,0.94857,0.70363,1.28019,0.75219,0.01125,0.0018614,0.0018614,0.0018614
9,278.452,1.11099,0.46941,0.00503,0.96609,0.91726,0.95744,0.54111,1.46955,0.70419,0.01214,0.0018416,0.0018416,0.0018416
10,307.51,1.07143,0.44836,0.00477,0.94521,0.91763,0.9614,0.74652,1.23298,0.65485,0.01096,0.0018218,0.0018218,0.0018218
11,335.82,1.01332,0.43078,0.00482,0.95214,0.9171,0.96531,0.74507,1.20837,0.67406,0.01087,0.001802,0.001802,0.001802
12,365.587,1.0101,0.43396,0.00475,0.94747,0.91608,0.95831,0.71921,1.29934,0.69111,0.01137,0.0017822,0.0017822,0.0017822
13,393.86,1.04512,0.42265,0.00486,0.94959,0.91294,0.96609,0.73618,1.22193,0.65509,0.01069,0.0017624,0.0017624,0.0017624
14,421.986,1.02856,0.42942,0.00482,0.95763,0.92435,0.96814,0.72974,1.20816,0.59249,0.01037,0.0017426,0.0017426,0.0017426
15,451.006,1.03003,0.42075,0.00485,0.96266,0.91489,0.96642,0.7361,1.22306,0.63724,0.01084,0.0017228,0.0017228,0.0017228
16,479.835,0.99018,0.404,0.00454,0.94938,0.93144,0.96985,0.75216,1.18846,0.60505,0.01044,0.001703,0.001703,0.001703
17,509.692,0.99578,0.41243,0.00448,0.96662,0.92408,0.96904,0.74252,1.22686,0.63813,0.01106,0.0016832,0.0016832,0.0016832
18,538.374,0.99264,0.4046,0.00465,0.95273,0.92317,0.96844,0.76922,1.16795,0.60981,0.01022,0.0016634,0.0016634,0.0016634
19,568.144,0.97322,0.40667,0.00455,0.96043,0.94444,0.97277,0.76365,1.15423,0.56269,0.01043,0.0016436,0.0016436,0.0016436
20,596.597,0.92816,0.37786,0.00415,0.96752,0.93144,0.97663,0.74666,1.18635,0.60284,0.01052,0.0016238,0.0016238,0.0016238
21,625.465,0.96831,0.398,0.00445,0.9522,0.91837,0.96821,0.75053,1.15702,0.62591,0.00993,0.001604,0.001604,0.001604
22,653.702,0.96935,0.3997,0.00445,0.96748,0.92317,0.97228,0.76202,1.13941,0.5906,0.00989,0.0015842,0.0015842,0.0015842
23,682.101,0.97111,0.39432,0.00419,0.95272,0.92896,0.97195,0.74846,1.17132,0.59163,0.01059,0.0015644,0.0015644,0.0015644
24,710.848,0.95542,0.38932,0.00445,0.96175,0.9511,0.97837,0.77085,1.22334,0.52194,0.01072,0.0015446,0.0015446,0.0015446
25,739.336,0.9444,0.38102,0.00442,0.97279,0.93144,0.97286,0.76086,1.13873,0.59489,0.00994,0.0015248,0.0015248,0.0015248
26,767.966,0.94566,0.39744,0.00434,0.94966,0.93617,0.96615,0.7497,1.15624,0.58434,0.01008,0.001505,0.001505,0.001505
27,796.549,0.95657,0.38265,0.00442,0.95596,0.94927,0.97372,0.76711,1.10794,0.56331,0.00941,0.0014852,0.0014852,0.0014852
28,824.58,0.9352,0.37059,0.00431,0.97276,0.92861,0.97368,0.76565,1.10625,0.61315,0.00952,0.0014654,0.0014654,0.0014654
29,853.587,0.92006,0.37116,0.00414,0.9736,0.93735,0.97245,0.76478,1.11965,0.5901,0.00947,0.0014456,0.0014456,0.0014456
30,882.459,0.90103,0.3596,0.00413,0.96384,0.94514,0.97514,0.73939,1.22428,0.60473,0.0107,0.0014258,0.0014258,0.0014258
31,911.318,0.90787,0.35079,0.00406,0.95871,0.93735,0.97231,0.77447,1.10296,0.58719,0.00951,0.001406,0.001406,0.001406
32,939.633,0.90207,0.3593,0.0042,0.97682,0.92435,0.97086,0.76974,1.12553,0.58331,0.0098,0.0013862,0.0013862,0.0013862
33,969.129,0.92666,0.36422,0.00429,0.95197,0.94326,0.97386,0.75836,1.14008,0.60715,0.00983,0.0013664,0.0013664,0.0013664
34,997.276,0.89729,0.3445,0.00412,0.9596,0.95154,0.97649,0.76712,1.14616,0.56373,0.0099,0.0013466,0.0013466,0.0013466
35,1026.32,0.90318,0.35695,0.00419,0.96492,0.94326,0.97568,0.7756,1.10168,0.56352,0.00931,0.0013268,0.0013268,0.0013268
36,1055.18,0.88618,0.34454,0.00413,0.97044,0.93735,0.97379,0.75766,1.12741,0.59424,0.00957,0.001307,0.001307,0.001307
37,1083.44,0.91534,0.35862,0.00416,0.96032,0.94681,0.97771,0.78425,1.08894,0.55203,0.00916,0.0012872,0.0012872,0.0012872
38,1111.27,0.87992,0.32546,0.00398,0.95845,0.9544,0.97958,0.78776,1.06071,0.49456,0.009,0.0012674,0.0012674,0.0012674
39,1140.04,0.87785,0.3307,0.00383,0.96058,0.95058,0.97814,0.79533,1.10952,0.58116,0.0095,0.0012476,0.0012476,0.0012476
40,1168.66,0.87977,0.34754,0.00423,0.95913,0.94312,0.97498,0.78102,1.09715,0.57184,0.00962,0.0012278,0.0012278,0.0012278
41,1197.53,0.86728,0.32599,0.00373,0.95958,0.95422,0.97579,0.79784,1.02935,0.58697,0.00874,0.001208,0.001208,0.001208
42,1227.72,0.87285,0.33682,0.00396,0.94511,0.93499,0.97543,0.77013,1.06185,0.60481,0.00911,0.0011882,0.0011882,0.0011882
43,1257.73,0.89097,0.34956,0.0041,0.96269,0.9539,0.98144,0.7851,1.08896,0.49437,0.00931,0.0011684,0.0011684,0.0011684
44,1287.71,0.86902,0.33129,0.00366,0.96602,0.94103,0.97899,0.77426,1.10368,0.51064,0.00933,0.0011486,0.0011486,0.0011486
45,1317.33,0.86375,0.34271,0.00406,0.96108,0.94917,0.97749,0.77912,1.08567,0.52446,0.00929,0.0011288,0.0011288,0.0011288
46,1346.39,0.8467,0.30989,0.00357,0.95269,0.95202,0.97661,0.79538,1.04292,0.57829,0.00888,0.001109,0.001109,0.001109
47,1375.73,0.84363,0.31677,0.00365,0.9672,0.94111,0.97904,0.7831,1.04525,0.51206,0.00894,0.0010892,0.0010892,0.0010892
48,1405.31,0.85137,0.33288,0.004,0.96648,0.93499,0.97661,0.78893,1.05394,0.56616,0.00896,0.0010694,0.0010694,0.0010694
49,1434.25,0.84094,0.32941,0.00372,0.97155,0.92849,0.97763,0.79046,1.03924,0.53738,0.00867,0.0010496,0.0010496,0.0010496
50,1463.92,0.84081,0.32147,0.00371,0.96387,0.94607,0.97717,0.78678,1.04851,0.55251,0.00906,0.0010298,0.0010298,0.0010298
51,1492.88,0.83312,0.31539,0.00354,0.97679,0.94563,0.97997,0.78797,1.06384,0.52441,0.00919,0.00101,0.00101,0.00101
52,1521.37,0.83732,0.33198,0.00373,0.96732,0.94444,0.9808,0.79112,1.0421,0.56273,0.00896,0.0009902,0.0009902,0.0009902
53,1550.69,0.83481,0.31661,0.00359,0.96159,0.94701,0.97817,0.78327,1.02499,0.53214,0.0085,0.0009704,0.0009704,0.0009704
54,1579.44,0.81923,0.3146,0.00353,0.96989,0.95192,0.98146,0.78385,1.00868,0.53118,0.00821,0.0009506,0.0009506,0.0009506
55,1607.44,0.82236,0.31371,0.00355,0.97284,0.94681,0.97908,0.79269,1.01757,0.5047,0.00856,0.0009308,0.0009308,0.0009308
