epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2419.2,0.92314,0.36569,0.00467,0.96657,0.94208,0.97668,0.76963,1.11881,0.53232,0.01005,0.0011882,0.0011882,0.0011882
43,2477.99,0.92224,0.38104,0.00486,0.95474,0.94761,0.9765,0.76943,1.11427,0.57004,0.0097,0.0011684,0.0011684,0.0011684
44,2536.39,0.93358,0.39146,0.00473,0.95947,0.94917,0.97798,0.77708,1.08664,0.58868,0.00977,0.0011486,0.0011486,0.0011486
45,2594.51,0.91665,0.37961,0.00476,0.96827,0.94208,0.97612,0.77925,1.13128,0.55887,0.00991,0.0011288,0.0011288,0.0011288
46,2653.52,0.92339,0.37386,0.00452,0.96487,0.94159,0.97723,0.77744,1.09147,0.55694,0.00937,0.001109,0.001109,0.001109
47,2710.94,0.89717,0.35496,0.00447,0.97919,0.94532,0.97935,0.77586,1.09858,0.5378,0.00937,0.0010892,0.0010892,0.0010892
48,2768.08,0.8967,0.36692,0.00484,0.94484,0.95164,0.97198,0.75453,1.09016,0.55326,0.00953,0.0010694,0.0010694,0.0010694
49,2824.75,0.89841,0.3567,0.0045,0.96162,0.94772,0.97565,0.77926,1.07394,0.55124,0.00924,0.0010496,0.0010496,0.0010496
50,2881.8,0.91286,0.36872,0.00464,0.96905,0.94444,0.97797,0.78298,1.06416,0.53947,0.00921,0.0010298,0.0010298,0.0010298
51,2939.6,0.9065,0.36634,0.00471,0.96047,0.95154,0.9793,0.77082,1.13386,0.50483,0.00987,0.00101,0.00101,0.00101
52,2998.04,0.91625,0.36242,0.00481,0.9559,0.94805,0.977,0.78208,1.06972,0.4761,0.00905,0.0009902,0.0009902,0.0009902
53,3059.38,0.89921,0.35212,0.00464,0.96591,0.93768,0.97655,0.78417,1.08363,0.51458,0.00922,0.0009704,0.0009704,0.0009704
54,3118.45,0.88433,0.3518,0.00442,0.97185,0.93852,0.97754,0.77807,1.07756,0.51195,0.0093,0.0009506,0.0009506,0.0009506
55,3178.19,0.86695,0.33995,0.00421,0.96066,0.95247,0.97892,0.78439,1.07164,0.52467,0.00916,0.0009308,0.0009308,0.0009308
56,3238.26,0.87732,0.35177,0.00431,0.96382,0.94799,0.97696,0.78535,1.06096,0.51538,0.00904,0.000911,0.000911,0.000911
57,3296.82,0.86854,0.35647,0.00429,0.97225,0.95242,0.97814,0.78699,1.06085,0.51774,0.00928,0.0008912,0.0008912,0.0008912
58,3354.64,0.87589,0.34736,0.00429,0.95741,0.95656,0.97604,0.77877,1.0382,0.51278,0.00885,0.0008714,0.0008714,0.0008714
59,3411.64,0.86922,0.35267,0.00443,0.96501,0.94326,0.97631,0.78262,1.02958,0.51744,0.00898,0.0008516,0.0008516,0.0008516
60,3468.01,0.87644,0.36041,0.00445,0.96742,0.94766,0.97897,0.78616,1.04591,0.51669,0.00887,0.0008318,0.0008318,0.0008318
61,3524.24,0.85307,0.33792,0.00417,0.96477,0.95272,0.97851,0.78642,1.05791,0.51687,0.00915,0.000812,0.000812,0.000812
62,3585.28,0.85477,0.34838,0.00435,0.97915,0.94387,0.9775,0.78727,1.04749,0.54165,0.0089,0.0007922,0.0007922,0.0007922
63,3642.22,0.85073,0.3366,0.00406,0.95677,0.94799,0.97649,0.78708,1.04668,0.54534,0.00879,0.0007724,0.0007724,0.0007724
64,3697.72,0.84692,0.33652,0.00424,0.96991,0.95249,0.97919,0.78737,1.02256,0.5345,0.00845,0.0007526,0.0007526,0.0007526
65,3753.68,0.8483,0.33947,0.00434,0.97661,0.93773,0.97776,0.79001,1.04071,0.52287,0.00869,0.0007328,0.0007328,0.0007328
66,3809.69,0.85783,0.33495,0.00434,0.95818,0.94798,0.97454,0.78482,1.08048,0.51676,0.0093,0.000713,0.000713,0.000713
67,3864.65,0.85359,0.32365,0.00428,0.97084,0.94439,0.97804,0.78973,1.04127,0.4944,0.00886,0.0006932,0.0006932,0.0006932
68,3921.3,0.84872,0.33929,0.00444,0.96874,0.94326,0.97982,0.78863,1.0467,0.49221,0.0089,0.0006734,0.0006734,0.0006734
69,3976.33,0.82776,0.3509,0.00414,0.9697,0.94584,0.97678,0.78051,1.04518,0.50082,0.00873,0.0006536,0.0006536,0.0006536
70,4031.12,0.81859,0.32356,0.0039,0.98034,0.94313,0.98175,0.78925,1.01797,0.49911,0.00819,0.0006338,0.0006338,0.0006338
71,4086,0.82638,0.31867,0.00415,0.97956,0.94563,0.98096,0.78657,1.07081,0.49915,0.00934,0.000614,0.000614,0.000614
72,4140.93,0.83241,0.32639,0.00438,0.97387,0.94799,0.97933,0.79105,1.04756,0.50838,0.00884,0.0005942,0.0005942,0.0005942
73,4196.05,0.82882,0.3251,0.00412,0.97088,0.94326,0.97642,0.78456,1.01554,0.5231,0.00856,0.0005744,0.0005744,0.0005744
74,4251.43,0.80141,0.30629,0.00396,0.97133,0.94326,0.97733,0.78824,1.01403,0.51702,0.00833,0.0005546,0.0005546,0.0005546
75,4306.28,0.82132,0.32281,0.00426,0.96982,0.94968,0.97833,0.79244,1.00406,0.51817,0.00832,0.0005348,0.0005348,0.0005348
76,4361.1,0.81678,0.31763,0.00417,0.97513,0.94444,0.97795,0.79161,1.02782,0.48717,0.00857,0.000515,0.000515,0.000515
