cv_thresh_x100,motion_w,min_hsv_x100,bg_var_thresh,conf_x100,track_min_hits,color_w,shape_w,avg_stable,cv_pass_rate,peak_stable,zero_frac,score
8,1,10,100,13,3,6,3,0.312,0.91,1.25,0.056,0.772
8,1,10,140,13,3,6,3,0.312,0.91,1.25,0.056,0.772
12,0,10,60,13,3,6,4,0.312,0.91,1.25,0.056,0.772
12,0,10,100,13,3,6,4,0.312,0.91,1.25,0.056,0.772
12,0,10,140,13,3,6,4,0.312,0.91,1.25,0.056,0.772
12,1,10,60,13,3,6,3,0.312,0.91,1.25,0.056,0.772
12,1,10,100,13,3,6,3,0.312,0.91,1.25,0.056,0.772
12,1,10,140,13,3,6,3,0.312,0.91,1.25,0.056,0.772
18,1,10,60,13,3,6,3,0.312,0.91,1.25,0.056,0.772
18,1,10,100,13,3,6,3,0.312,0.91,1.25,0.056,0.772
18,1,10,140,13,3,6,3,0.312,0.91,1.25,0.056,0.772
18,0,6,60,13,3,6,4,0.315,0.89,1.25,0.058,0.75
18,0,6,100,13,3,6,4,0.315,0.89,1.25,0.058,0.75
18,0,6,140,13,3,6,4,0.315,0.89,1.25,0.058,0.75
18,0,10,60,13,3,6,4,0.31,0.887,1.25,0.058,0.7332
18,0,10,100,13,3,6,4,0.31,0.887,1.25,0.058,0.7332
18,0,10,140,13,3,6,4,0.31,0.887,1.25,0.058,0.7332
8,0,15,60,13,3,6,4,0.306,0.884,1.25,0.058,0.7189
8,0,15,100,13,3,6,4,0.306,0.884,1.25,0.058,0.7189
8,0,15,140,13,3,6,4,0.306,0.884,1.25,0.058,0.7189
8,1,15,60,13,3,6,3,0.306,0.884,1.25,0.058,0.7189
8,1,15,100,13,3,6,3,0.306,0.884,1.25,0.058,0.7189
8,1,15,140,13,3,6,3,0.306,0.884,1.25,0.058,0.7189
12,0,15,60,13,3,6,4,0.306,0.884,1.25,0.058,0.7189
12,0,15,100,13,3,6,4,0.306,0.884,1.25,0.058,0.7189
12,0,15,140,13,3,6,4,0.306,0.884,1.25,0.058,0.7189
12,1,15,60,13,3,6,3,0.306,0.884,1.25,0.058,0.7189
12,1,15,100,13,3,6,3,0.306,0.884,1.25,0.058,0.7189
12,1,15,140,13,3,6,3,0.306,0.884,1.25,0.058,0.7189
18,0,15,60,13,3,6,4,0.306,0.884,1.25,0.058,0.7189
18,0,15,100,13,3,6,4,0.306,0.884,1.25,0.058,0.7189
18,0,15,140,13,3,6,4,0.306,0.884,1.25,0.058,0.7189
18,1,15,60,13,3,6,3,0.306,0.884,1.25,0.058,0.7189
18,1,15,100,13,3,6,3,0.306,0.884,1.25,0.058,0.7189
18,1,15,140,13,3,6,3,0.306,0.884,1.25,0.058,0.7189
8,0,6,60,17,2,6,4,0.227,0.919,1.25,0.029,0.6053
8,0,6,100,17,2,6,4,0.227,0.919,1.25,0.029,0.6053
8,0,6,140,17,2,6,4,0.227,0.919,1.25,0.029,0.6053
8,1,6,60,17,2,6,3,0.227,0.919,1.25,0.029,0.6053
8,1,6,100,17,2,6,3,0.227,0.919,1.25,0.029,0.6053
8,1,6,140,17,2,6,3,0.227,0.919,1.25,0.029,0.6053
12,1,6,60,17,2,6,3,0.227,0.919,1.25,0.029,0.6053
12,1,6,100,17,2,6,3,0.227,0.919,1.25,0.029,0.6053
12,1,6,140,17,2,6,3,0.227,0.919,1.25,0.029,0.6053
18,1,6,60,17,2,6,3,0.225,0.907,1.25,0.027,0.587
18,1,6,100,17,2,6,3,0.225,0.907,1.25,0.027,0.587
18,1,6,140,17,2,6,3,0.225,0.907,1.25,0.027,0.587
12,0,6,60,17,2,6,4,0.223,0.905,1.25,0.027,0.5792
12,0,6,100,17,2,6,4,0.223,0.905,1.25,0.027,0.5792
12,0,6,140,17,2,6,4,0.223,0.905,1.25,0.027,0.5792
8,0,10,60,17,2,6,4,0.219,0.901,1.25,0.027,0.5635
8,0,10,100,17,2,6,4,0.219,0.901,1.25,0.027,0.5635
8,0,10,140,17,2,6,4,0.219,0.901,1.25,0.027,0.5635
8,1,10,60,17,2,6,3,0.219,0.901,1.25,0.027,0.5635
8,1,10,100,17,2,6,3,0.219,0.901,1.25,0.027,0.5635
8,1,10,140,17,2,6,3,0.219,0.901,1.25,0.027,0.5635
12,0,10,60,17,2,6,4,0.219,0.901,1.25,0.027,0.5635
12,0,10,100,17,2,6,4,0.219,0.901,1.25,0.027,0.5635
12,0,10,140,17,2,6,4,0.219,0.901,1.25,0.027,0.5635
12,1,10,60,17,2,6,3,0.219,0.901,1.25,0.027,0.5635
12,1,10,100,17,2,6,3,0.219,0.901,1.25,0.027,0.5635
12,1,10,140,17,2,6,3,0.219,0.901,1.25,0.027,0.5635
18,1,10,60,17,2,6,3,0.219,0.901,1.25,0.027,0.5635
18,1,10,100,17,2,6,3,0.219,0.901,1.25,0.027,0.5635
18,1,10,140,17,2,6,3,0.219,0.901,1.25,0.027,0.5635
8,0,6,60,17,3,6,4,0.208,0.919,1.0,0.013,0.5423
8,0,6,100,17,3,6,4,0.208,0.919,1.0,0.013,0.5423
8,0,6,140,17,3,6,4,0.208,0.919,1.0,0.013,0.5423
8,1,6,60,17,3,6,3,0.208,0.919,1.0,0.013,0.5423
8,1,6,100,17,3,6,3,0.208,0.919,1.0,0.013,0.5423
8,1,6,140,17,3,6,3,0.208,0.919,1.0,0.013,0.5423
12,1,6,60,17,3,6,3,0.208,0.919,1.0,0.013,0.5423
12,1,6,100,17,3,6,3,0.208,0.919,1.0,0.013,0.5423
12,1,6,140,17,3,6,3,0.208,0.919,1.0,0.013,0.5423
18,0,6,60,17,2,6,4,0.223,0.874,1.25,0.027,0.5376
18,0,6,100,17,2,6,4,0.223,0.874,1.25,0.027,0.5376
18,0,6,140,17,2,6,4,0.223,0.874,1.25,0.027,0.5376
18,1,6,60,17,3,6,3,0.208,0.907,1.0,0.013,0.5262
18,1,6,100,17,3,6,3,0.208,0.907,1.0,0.013,0.5262
18,1,6,140,17,3,6,3,0.208,0.907,1.0,0.013,0.5262
18,0,10,60,17,2,6,4,0.219,0.87,1.25,0.027,0.522
18,0,10,100,17,2,6,4,0.219,0.87,1.25,0.027,0.522
18,0,10,140,17,2,6,4,0.219,0.87,1.25,0.027,0.522
12,0,6,60,17,3,6,4,0.206,0.905,1.0,0.013,0.5184
12,0,6,100,17,3,6,4,0.206,0.905,1.0,0.013,0.5184
12,0,6,140,17,3,6,4,0.206,0.905,1.0,0.013,0.5184
8,0,10,60,17,3,6,4,0.204,0.901,1.0,0.013,0.5079
8,0,10,100,17,3,6,4,0.204,0.901,1.0,0.013,0.5079
8,0,10,140,17,3,6,4,0.204,0.901,1.0,0.013,0.5079
8,1,10,60,17,3,6,3,0.204,0.901,1.0,0.013,0.5079
8,1,10,100,17,3,6,3,0.204,0.901,1.0,0.013,0.5079
8,1,10,140,17,3,6,3,0.204,0.901,1.0,0.013,0.5079
12,0,10,60,17,3,6,4,0.204,0.901,1.0,0.013,0.5079
