train_set,R,C1,C2,RC1,RC2,RC1C2
R,0.7131,0.032,0.3948,0.1495,0.5155,0.2061
RC1,0.7021,0.2596,0.488,0.3263,0.5704,0.3658
RC2,0.7119,0.0443,0.8609,0.1578,0.8165,0.334
RC1C2,0.7048,0.2609,0.8548,0.3276,0.8109,0.453
