epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.5486,2.43982,2.16637,0.00704,0.45575,0.45887,0.37168,0.11979,1.94322,1.25217,0.01712,0.000665539,0.000665539,0.000665539
2,118.63,2.62427,1.32653,0.00775,0.51284,0.47768,0.4152,0.14541,1.84001,1.02365,0.01455,0.00131902,0.00131902,0.00131902
3,171.603,2.52274,1.22035,0.0082,0.53649,0.5024,0.4098,0.13724,1.85672,1.40057,0.01469,0.00195929,0.00195929,0.00195929
4,224.359,2.45708,1.23624,0.00809,0.57301,0.55391,0.49238,0.17589,1.8313,1.00306,0.01487,0.0019406,0.0019406,0.0019406
5,276.977,2.45808,1.15651,0.00743,0.53344,0.52932,0.45727,0.1705,1.67999,1.05135,0.01277,0.0019208,0.0019208,0.0019208
6,329.364,2.3558,1.07631,0.00735,0.60486,0.55618,0.54696,0.20901,1.69432,0.87006,0.0133,0.001901,0.001901,0.001901
7,382.354,2.30797,1.07222,0.00735,0.56295,0.54402,0.50326,0.18954,1.76716,0.93391,0.01431,0.0018812,0.0018812,0.0018812
8,434.593,2.3035,1.06972,0.00654,0.61493,0.62322,0.58712,0.22725,1.66222,0.83171,0.01339,0.0018614,0.0018614,0.0018614
9,487.018,2.23207,1.04709,0.00689,0.62171,0.59646,0.5824,0.22183,1.71543,0.86069,0.01401,0.0018416,0.0018416,0.0018416
10,543.056,2.20531,1.02598,0.00664,0.57688,0.58388,0.53472,0.21039,1.5985,0.83875,0.01276,0.0018218,0.0018218,0.0018218
11,595.484,2.1521,1.01618,0.00655,0.58656,0.60716,0.5636,0.23143,1.53087,0.83401,0.01188,0.001802,0.001802,0.001802
12,648.151,2.14234,0.98722,0.00676,0.59071,0.60752,0.57672,0.24043,1.51023,0.79541,0.01166,0.0017822,0.0017822,0.0017822
13,700.851,2.14087,0.99114,0.0066,0.58583,0.56695,0.55493,0.2148,1.60337,0.89351,0.0123,0.0017624,0.0017624,0.0017624
14,753.242,2.12851,0.97787,0.00601,0.63717,0.61453,0.59411,0.24718,1.52598,0.82715,0.01169,0.0017426,0.0017426,0.0017426
15,805.889,2.10064,0.95515,0.00589,0.60111,0.59941,0.59082,0.24067,1.50215,0.73706,0.01142,0.0017228,0.0017228,0.0017228
16,858.03,2.13072,0.976,0.00538,0.59062,0.61527,0.60671,0.25965,1.47807,0.75651,0.01085,0.001703,0.001703,0.001703
17,910.413,2.07368,0.93612,0.00596,0.5808,0.58871,0.57676,0.24997,1.47982,0.73498,0.0115,0.0016832,0.0016832,0.0016832
18,962.566,2.09746,0.93219,0.00574,0.60443,0.62966,0.61064,0.25561,1.51494,0.79311,0.01155,0.0016634,0.0016634,0.0016634
19,1014.82,2.06254,0.93456,0.00599,0.6215,0.58449,0.5943,0.24974,1.57742,0.81286,0.0121,0.0016436,0.0016436,0.0016436
20,1066.92,2.05287,0.94033,0.00606,0.62805,0.62228,0.60948,0.26144,1.48308,0.75219,0.01077,0.0016238,0.0016238,0.0016238
21,1119.62,2.01427,0.91974,0.00589,0.61765,0.61712,0.60857,0.26212,1.52699,0.82079,0.01176,0.001604,0.001604,0.001604
22,1172.12,2.05712,0.95088,0.00622,0.59544,0.60162,0.57577,0.24055,1.45796,0.78209,0.01084,0.0015842,0.0015842,0.0015842
23,1225,2.02902,0.93493,0.00559,0.61362,0.59284,0.59542,0.25844,1.48038,0.69819,0.01113,0.0015644,0.0015644,0.0015644
24,1277.5,2.0131,0.90531,0.00585,0.61391,0.61158,0.6001,0.26513,1.44671,0.73898,0.01056,0.0015446,0.0015446,0.0015446
25,1330.01,2.03078,0.92105,0.00591,0.61563,0.62921,0.61863,0.26471,1.44969,0.73419,0.01118,0.0015248,0.0015248,0.0015248
26,1382.32,2.03567,0.92589,0.00577,0.645,0.62892,0.61225,0.26132,1.45347,0.78878,0.01079,0.001505,0.001505,0.001505
27,1434.72,2.00381,0.91069,0.00556,0.62456,0.62339,0.61113,0.26612,1.46357,0.78239,0.01124,0.0014852,0.0014852,0.0014852
28,1487,2.00965,0.90843,0.0055,0.62951,0.61748,0.62088,0.26915,1.47308,0.75222,0.01101,0.0014654,0.0014654,0.0014654
29,1539.27,1.95535,0.9038,0.00546,0.61514,0.6338,0.62686,0.27869,1.43257,0.71029,0.01091,0.0014456,0.0014456,0.0014456
30,1591.71,1.96878,0.90303,0.00553,0.59223,0.61084,0.60367,0.27291,1.43704,0.74344,0.01082,0.0014258,0.0014258,0.0014258
31,1644.35,1.95556,0.89294,0.00559,0.61586,0.61011,0.61405,0.27535,1.45998,0.73523,0.01108,0.001406,0.001406,0.001406
32,1696.89,1.91031,0.88738,0.00587,0.60884,0.61547,0.61665,0.27345,1.3833,0.72258,0.00979,0.0013862,0.0013862,0.0013862
33,1749.43,1.93286,0.87859,0.00534,0.63135,0.61564,0.61506,0.27276,1.41003,0.69837,0.01025,0.0013664,0.0013664,0.0013664
34,1801.89,1.9234,0.86666,0.00513,0.63303,0.63113,0.63518,0.28666,1.41032,0.72451,0.01037,0.0013466,0.0013466,0.0013466
35,1854.38,1.94191,0.8852,0.00533,0.63685,0.62228,0.627,0.28017,1.41632,0.76402,0.0107,0.0013268,0.0013268,0.0013268
36,1906.54,1.94841,0.8685,0.00531,0.61836,0.64921,0.62741,0.28044,1.34534,0.72901,0.00922,0.001307,0.001307,0.001307
37,1959.07,1.90725,0.8516,0.00543,0.65385,0.63999,0.6438,0.28119,1.38533,0.71028,0.00993,0.0012872,0.0012872,0.0012872
38,2011.34,1.90712,0.88354,0.00493,0.61615,0.62822,0.617,0.28009,1.38337,0.69568,0.01016,0.0012674,0.0012674,0.0012674
39,2063.49,1.97426,0.90346,0.00492,0.62343,0.64549,0.63117,0.28658,1.38616,0.69928,0.0102,0.0012476,0.0012476,0.0012476
40,2116.01,1.89827,0.8576,0.00521,0.60895,0.65942,0.62634,0.28083,1.39407,0.6948,0.01019,0.0012278,0.0012278,0.0012278
41,2168.44,1.90042,0.86395,0.00494,0.6082,0.64302,0.62932,0.29191,1.396,0.67987,0.01021,0.001208,0.001208,0.001208
42,2221.11,1.90391,0.88807,0.00481,0.5874,0.65732,0.61958,0.28115,1.3798,0.71508,0.00977,0.0011882,0.0011882,0.0011882
43,2273.64,1.87238,0.86796,0.00528,0.61768,0.67164,0.63734,0.28329,1.4065,0.7401,0.01077,0.0011684,0.0011684,0.0011684
44,2326.09,1.86926,0.8694,0.00503,0.61921,0.6436,0.63554,0.28965,1.38567,0.69231,0.01065,0.0011486,0.0011486,0.0011486
45,2378.33,1.83827,0.85533,0.00527,0.61983,0.62781,0.61807,0.28263,1.35456,0.72625,0.00968,0.0011288,0.0011288,0.0011288
46,2430.97,1.87737,0.86576,0.00518,0.59317,0.64552,0.61502,0.28051,1.36448,0.77855,0.01013,0.001109,0.001109,0.001109
47,2483.55,1.86517,0.86099,0.00524,0.61974,0.6647,0.63722,0.28915,1.3745,0.72802,0.01019,0.0010892,0.0010892,0.0010892
48,2535.66,1.83018,0.83623,0.00554,0.60505,0.6422,0.62855,0.28865,1.38331,0.72655,0.0105,0.0010694,0.0010694,0.0010694
49,2588.03,1.85291,0.86181,0.00488,0.6168,0.64589,0.63726,0.29578,1.30974,0.72995,0.0093,0.0010496,0.0010496,0.0010496
50,2640.54,1.83892,0.84131,0.00515,0.6457,0.64331,0.65507,0.2963,1.32157,0.71647,0.00926,0.0010298,0.0010298,0.0010298
51,2693.2,1.84538,0.85341,0.0048,0.59027,0.66544,0.63898,0.29329,1.34491,0.6975,0.00966,0.00101,0.00101,0.00101
52,2745.72,1.85449,0.86108,0.00491,0.61463,0.64035,0.63529,0.2938,1.30572,0.72817,0.00926,0.0009902,0.0009902,0.0009902
53,2798.37,1.83413,0.85198,0.00482,0.62956,0.64183,0.64411,0.29306,1.3176,0.70329,0.00934,0.0009704,0.0009704,0.0009704
54,2850.64,1.82776,0.83831,0.00472,0.64068,0.64982,0.65836,0.30139,1.3352,0.70152,0.00957,0.0009506,0.0009506,0.0009506
55,2902.85,1.82357,0.82799,0.00472,0.63376,0.65511,0.6563,0.3001,1.36649,0.65555,0.00997,0.0009308,0.0009308,0.0009308
56,2954.95,1.8083,0.84209,0.00478,0.63613,0.64035,0.64672,0.29833,1.32461,0.68729,0.0097,0.000911,0.000911,0.000911
57,3007.23,1.84002,0.86174,0.00444,0.62345,0.63516,0.64761,0.3006,1.31304,0.70009,0.00915,0.0008912,0.0008912,0.0008912
58,3059.36,1.75286,0.807,0.00497,0.64793,0.66187,0.66265,0.30154,1.34359,0.68545,0.00952,0.0008714,0.0008714,0.0008714
59,3111.84,1.77294,0.82845,0.00492,0.63845,0.66064,0.65987,0.30164,1.33637,0.69356,0.00986,0.0008516,0.0008516,0.0008516
60,3164.46,1.81128,0.85097,0.0046,0.63663,0.63261,0.6562,0.3019,1.31012,0.64711,0.00929,0.0008318,0.0008318,0.0008318
61,3216.99,1.80471,0.85708,0.00471,0.66019,0.66949,0.67766,0.30925,1.30488,0.71234,0.00922,0.000812,0.000812,0.000812
62,3269.52,1.7752,0.81988,0.00465,0.6403,0.66027,0.66728,0.31003,1.2889,0.67436,0.00922,0.0007922,0.0007922,0.0007922
63,3322.22,1.73345,0.81193,0.00496,0.63636,0.66986,0.66139,0.30981,1.2948,0.69369,0.00927,0.0007724,0.0007724,0.0007724
64,3374.4,1.79597,0.8415,0.00443,0.62452,0.6588,0.65505,0.3035,1.30293,0.67957,0.0092,0.0007526,0.0007526,0.0007526
65,3426.41,1.79729,0.82301,0.00461,0.62881,0.65437,0.65508,0.30486,1.2902,0.71229,0.00924,0.0007328,0.0007328,0.0007328
66,3478.52,1.73343,0.80297,0.00468,0.6247,0.66556,0.65395,0.30466,1.27835,0.72753,0.00897,0.000713,0.000713,0.000713
67,3530.69,1.72784,0.80001,0.00454,0.61393,0.64582,0.64602,0.30471,1.27748,0.70938,0.00878,0.0006932,0.0006932,0.0006932
68,3582.71,1.71792,0.8224,0.00464,0.63181,0.66322,0.65189,0.30559,1.2909,0.70022,0.00894,0.0006734,0.0006734,0.0006734
69,3635.29,1.73863,0.81645,0.00458,0.60225,0.66949,0.64856,0.30562,1.29082,0.68763,0.00905,0.0006536,0.0006536,0.0006536
70,3687.81,1.74333,0.81512,0.00423,0.61261,0.67281,0.65525,0.31051,1.28307,0.69572,0.00896,0.0006338,0.0006338,0.0006338
